Estimator,Permuted,ev,fold,mae,modality,model_testing,mse,r2_score,target
RandomForest,no,0.4430965273169353,71,4.345957787941721,"sMRI, dMRI, fMRI (full MRI)",validation,28.755989330444603,0.4424742034957289,Age
RandomForest,no,0.5022604967546322,71,4.0281560956790825,"sMRI, dMRI, fMRI (full MRI)",generalization,24.61161678603452,0.5022527552273943,Age
RandomForest,no,0.5066661192608319,72,3.9902244389027435,"sMRI, dMRI, fMRI (full MRI)",validation,24.36937943142145,0.5066631992581228,Age
RandomForest,no,0.5033696969621524,72,4.025652694610778,"sMRI, dMRI, fMRI (full MRI)",generalization,24.55783444311377,0.5033404534976441,Age
RandomForest,no,0.4945731202613101,73,3.9844518745505955,"sMRI, dMRI, fMRI (full MRI)",validation,24.769796537008762,0.4940119936639775,Age
RandomForest,no,0.5019991728194073,73,4.0275142713638425,"sMRI, dMRI, fMRI (full MRI)",generalization,24.62534122228268,0.5019751911653514,Age
RandomForest,no,0.4263078826052571,74,4.253476309226933,"sMRI, dMRI, fMRI (full MRI)",validation,27.147368578553614,0.42421610634895424,Age
RandomForest,no,0.5017750204679929,74,4.023703592814371,"sMRI, dMRI, fMRI (full MRI)",generalization,24.635271532934127,0.5017743597933424,Age
RandomForest,no,0.5074185126718673,75,4.058097642351877,"sMRI, dMRI, fMRI (full MRI)",validation,25.29015514981317,0.5072136092080208,Age
RandomForest,no,0.5022698547741042,75,4.028472423849384,"sMRI, dMRI, fMRI (full MRI)",generalization,24.61088538699148,0.5022675470983093,Age
RandomForest,no,0.4660654528490492,76,4.401466334164589,"sMRI, dMRI, fMRI (full MRI)",validation,29.31783154114713,0.4647361192565428,Age
RandomForest,no,0.5044299638029306,76,4.016684630738523,"sMRI, dMRI, fMRI (full MRI)",generalization,24.504054371257485,0.5044281058377101,Age
RandomForest,no,0.516233147394229,77,3.906565413252253,"sMRI, dMRI, fMRI (full MRI)",validation,23.35400785736941,0.5056126113489169,Age
RandomForest,no,0.5064692872358736,77,4.016727969546502,"sMRI, dMRI, fMRI (full MRI)",generalization,24.411076709781774,0.5063084932672428,Age
RandomForest,no,0.4916619382883519,78,3.929775561097257,"sMRI, dMRI, fMRI (full MRI)",validation,24.045317985037407,0.4915688409312658,Age
RandomForest,no,0.5053224699588874,78,4.023652694610778,"sMRI, dMRI, fMRI (full MRI)",generalization,24.461578570858283,0.5052871397159806,Age
RandomForest,no,0.537969835371774,79,3.760389027431421,"sMRI, dMRI, fMRI (full MRI)",validation,22.363889596009976,0.536307838328667,Age
RandomForest,no,0.5033885088122094,79,4.0330688622754485,"sMRI, dMRI, fMRI (full MRI)",generalization,24.560787445109774,0.5032807317564802,Age
RandomForest,no,0.4953788796251527,80,4.145256857855362,"sMRI, dMRI, fMRI (full MRI)",validation,25.516945795511226,0.4941674952008696,Age
RandomForest,no,0.5030518526973653,80,4.027674650698603,"sMRI, dMRI, fMRI (full MRI)",generalization,24.57384004790419,0.503016754906259,Age
RandomForest,no,0.466242526272622,81,4.0298553615960095,"sMRI, dMRI, fMRI (full MRI)",validation,24.874236528678303,0.4660517448092323,Age
RandomForest,no,0.5026382149650706,81,4.02548502994012,"sMRI, dMRI, fMRI (full MRI)",generalization,24.592964798403198,0.5026299744703939,Age
RandomForest,no,0.4583196079944226,82,4.128581421743349,"sMRI, dMRI, fMRI (full MRI)",validation,26.615439838346038,0.4562941444258155,Age
RandomForest,no,0.5019908385895147,82,4.016360106001815,"sMRI, dMRI, fMRI (full MRI)",generalization,24.62461055516123,0.5019899682338271,Age
RandomForest,no,0.5057395440395669,83,3.992658354114713,"sMRI, dMRI, fMRI (full MRI)",validation,24.530215421446385,0.5047995952026683,Age
